lexical_unit,pos,gloss,variant,audio_file,example_sentence,translation
solwarra,Noun,salt water,,,,
jarrinyin,Noun,type of devil dog,,,Jarrinyin yawurr-ngegban.ga mululurru marlarluga,"Jarrinyin, when old women and men die."
darib,Coverb,"to put on the fire",dariba,darib_sentence_nan-ya-na-yibumbu-wan-darib-gi-yirrugu.wav,Nan-ya na yibumbu-wan darib gi yirrugu.,"There now, put the billy on the fire for us."
jugjumban,Adjective,"redup",,,,
Geberrung,Noun,place name,,,,
yingardung,Adjective,"next-born, middle",,,,
weg,Coverb,"swallow",,,wiyan weg ngundi.,He swallowed water.
jubun(ma),Coverb,"carry over shoulder strap, bag",,,Jubun wurr-gandiya  (yinebel-ya),"We carried the kids over our shoulders from this side, with paperbark they   the child in the paperbark."
yigamu,Noun,"uncle",,,yidumduma yigamu yinggi,Yidumduma is your uncle.
magum,Noun,ironwood tree,,magum.wav,magum-wan mod wu-linyjerriya guduru-wu,when they cut ironwood for nullanullas
lagu,Adposition,"customarily, usually",,638495201077150618A LexExampleSentence.wav,nga--ginyen lagu warnarr-warra,I  usually cook with fat [I as opposed to? others]
jarrambuyi-wujban,Noun,searching bugger,,638494373323121848A LexExampleSentence.wav,jarrambu yanja lagla-wu,"yilamagan jarrambu yanja bangbu-wu, yibiyan-gu"
din.gawurrg,Coverb,hit neck,,,,
gi-,Verb,"put, place; call someone'",,,yiguyu-yi yiberr-ya ya-gin wurren,The mother puts the child on her leg.
gajiwa,Noun,bullrush,,gajiwa.wav,"gajiwa wurr-mendiya mamum, wurr-bundiya durrb durrb","They'd get the seeds of the gajiwa, they pierced them."
willeroo,Noun,Willeroo,,,,
yuwarrin,Noun,poor thing,,yuwarrin_sentence_yuwarrin-gila.wav,Yuwarrin gila!,Poor thing!
bulgej,Adjective,"the middle of water",,,,
menmen,Coverb,"go, underneath",,,dan.ganung menmen wumunburra-ya,these within the rock
gurlgurl,Coverb,"be loose, promiscuous, put down heap, heap up",,,"gurlgurl gindi yiwarlng, guyamin-biji wurr-gindiya-wuya, jolorrgjolorrg = gurlgurl",They been soak clothes.
lawarra,Noun,riflefish,,638495223970901102A LexExampleSentence.wav,,"ngayi-men wiya-ya diw ngayi-wudba barrun-gu, warrag-gu"
mumbag,Coverb,"realize",,,Mumbag Yanggunbu-dan yimum-barra,"They wake them up, (using, with) eyes."
lurle,Coverb,"cry",lurleglurle,,Yidjingindiya lurleglurle gunga marluga-wu,We cried for the old man.
nungguyiyn-guya,Noun,"countryman, friends",,,ngarrug nungguyin-mulu,We are friends.
yurrgba-,Verb,"feel about",,,,
yaning-barra,Adverb,"at the time, at that time",,,Yawudjingin girrb yayungga bulun yaning-barra-wan yawurrya,"They sit quiet (while) the wind is blowing, at that time they go"
Doit,Coverb,use magic on,,,yilamagan doit wurr-yanarri-wuya nan-guya,maybe those two `did it' [used magic on someone]
menjen,Adjective,cheeky,yimenjegmenjen rdp.,638545398625364972A LexExampleSentence.wav,minini-yi yimenjen yingala   [yingan-la],He might bite me cheeky dog
dudburudbu,Noun,"insect which eats excrement, excavates dirt to make hole",,,,
born,Coverb,"born,",,,,
jilin,Noun,crest,,,,
gurlgba,Coverb,"swell up, puff up",,,"gurlgba gurlgba ya-jingin yinyeyn, bandi ya-bun-ga, gurlgba na yayu- garlirlij ya-jingin",The body swells up.
durrb,Coverb,"pierce, stab",,durrb.wav,mernde-yi durrb yanggunburr-bun.,Whites give them a needle.
bubuma,Coverb,"heating",,,bubuma wurr-bundiya nana bangbun,"They `heated that woman. [e.g., following birth]"
ngani-,PROPRE,"you",,,ngani-won!,Give it to me!
Birriwalngali,Noun,name,,,,
damin,Adverb,here,,damin_sentence_damin-ba-nyangandi-ngunung.wav,Damin-ba nyangandi ngunung.,He came to me from that way.
lorrodba-,Verb,"sharpen, grind, crush or make fine",,lorrodba_sentence_yo-lorrodba-bega-jabalawarna-ya.wav,Yo-lorrodba bega jabalawarna-ya.,He crushes the tobacco on the flat space.
nyirib,Coverb,"stop, shuts off",,,nyirib ya-yu merleng wagbawun,"the light is shut off, no light"
deldelma,Coverb,"disabled, lame",,deldelma.wav,Deldelma yanja.,He is lame.
ngorrong,Noun,spangled perch,,,"wuduwudu barrunin yirrmendiya Ngorrong, yirrgulu-ya yirr-mendiya","Little fish we got, in the river."
wubin,Noun,"thumb",,wubin.wav,,
arayt,Interjection,right,,,"Arayt, first time, I been little boy la Manbulloo","OK, earlier I was a little boy at Manbulloo."
garramandan,Noun,small red lizard,,,,
buyulun,Noun,"for ashes",,,,
winymarnang,Coverb,"hit neck",,,winymarnang wurr-bundi neng.,They hit it in the neck.
merleng bu,Adjective,"illuminated, aflame, alight",,,jibu wurr-bundi merleng; merleng bundi.,They put out that light.
wunagbala,Noun,"knuckles, joint",,,,
